90'+1'		Match ends, Hull City 1, Tottenham Hotspur 7.
66'		Attempt blocked. Oumar Niasse (Hull City) left footed shot from the centre of the box is blocked. Assisted by Kamil Grosicki.
65'		Attempt saved. Tom Huddlestone (Hull City) right footed shot from outside the box is saved in the top centre of the goal.
65'		Attempt saved. Kamil Grosicki (Hull City) right footed shot from outside the box is saved in the bottom left corner. Assisted by Tom Huddlestone.
62'		Attempt saved. Dele Alli (Tottenham Hotspur) right footed shot from the centre of the box is saved in the top left corner. Assisted by Harry Kane with a cross.
60'		Attempt missed. Oumar Niasse (Hull City) right footed shot from the right side of the box is just a bit too high. Assisted by Omar Elabdellaoui.
59'		Attempt missed. Jarrod Bowen (Hull City) left footed shot from outside the box is high and wide to the left.
58'		Foul by Tom Huddlestone (Hull City).
58'		Dele Alli (Tottenham Hotspur) wins a free kick in the attacking half.
57'		Attempt missed. Oumar Niasse (Hull City) right footed shot from the right side of the box misses to the right. Assisted by Josh Tymon with a cross.
55'		Corner, Hull City. Conceded by Toby Alderweireld.
52'		Foul by Josh Tymon (Hull City).
52'		Dele Alli (Tottenham Hotspur) wins a free kick on the right wing.
52'		Foul by Jarrod Bowen (Hull City).
52'		Ben Davies (Tottenham Hotspur) wins a free kick on the left wing.
51'		Attempt saved. Son Heung-Min (Tottenham Hotspur) left footed shot from the centre of the box is saved in the bottom left corner. Assisted by Ben Davies.
51'		Attempt blocked. Harry Kane (Tottenham Hotspur) left footed shot from outside the box is blocked. Assisted by Christian Eriksen.
51'		Attempt saved. Andrea Ranocchia (Hull City) header from the centre of the box is saved in the top left corner. Assisted by Tom Huddlestone with a cross.
50'		Corner, Hull City. Conceded by Ben Davies.
45'		Substitution, Hull City. Kamil Grosicki replaces Curtis Davies.
45'		Second Half begins Hull City 0, Tottenham Hotspur 3.
45'		First Half ends, Hull City 0, Tottenham Hotspur 3.
45'+2'		Goal! Hull City 0, Tottenham Hotspur 3. Dele Alli (Tottenham Hotspur) right footed shot from the centre of the box to the bottom right corner. Assisted by Son Heung-Min.
44'		Harry Kane (Tottenham Hotspur) wins a free kick in the defensive half.
44'		Foul by Jarrod Bowen (Hull City).
44'		Delay over. They are ready to continue.
43'		Delay in match Andrea Ranocchia (Hull City) because of an injury.
42'		Jarrod Bowen (Hull City) wins a free kick on the right wing.
42'		Foul by Eric Dier (Tottenham Hotspur).
38'		Attempt saved. Eric Dier (Tottenham Hotspur) header from the centre of the box is saved in the top centre of the goal. Assisted by Ben Davies with a cross.
38'		Corner, Tottenham Hotspur. Conceded by Andrea Ranocchia.
35'		Offside, Hull City. Andrea Ranocchia tries a through ball, but Oumar Niasse is caught offside.
35'		Sam Clucas (Hull City) wins a free kick in the defensive half.
35'		Foul by Dele Alli (Tottenham Hotspur).
35'		Attempt saved. Son Heung-Min (Tottenham Hotspur) left footed shot from the centre of the box is saved in the top left corner. Assisted by Ben Davies.
30'		Jan Vertonghen (Tottenham Hotspur) wins a free kick in the defensive half.
30'		Foul by Oumar Niasse (Hull City).
30'		Foul by Dele Alli (Tottenham Hotspur).
30'		Andrea Ranocchia (Hull City) wins a free kick in the defensive half.
24'		Victor Wanyama (Tottenham Hotspur) wins a free kick in the attacking half.
24'		Foul by Alfred N'Diaye (Hull City).
20'		Corner, Tottenham Hotspur. Conceded by Curtis Davies.
18'		Jarrod Bowen (Hull City) wins a free kick on the right wing.
18'		Foul by Ben Davies (Tottenham Hotspur).
16'		Attempt missed. Dele Alli (Tottenham Hotspur) right footed shot from outside the box misses to the right. Assisted by Eric Dier following a set piece situation.
16'		Foul by Oumar Niasse (Hull City).
16'		Eric Dier (Tottenham Hotspur) wins a free kick in the attacking half.
13'		Goal! Hull City 0, Tottenham Hotspur 2. Harry Kane (Tottenham Hotspur) left footed shot from very close range to the centre of the goal. Assisted by Kieran Trippier.
11'		Goal! Hull City 0, Tottenham Hotspur 1. Harry Kane (Tottenham Hotspur) left footed shot from outside the box to the bottom right corner. Assisted by Christian Eriksen.
7'		Foul by Alfred N'Diaye (Hull City).
7'		Dele Alli (Tottenham Hotspur) wins a free kick on the left wing.
7'		Attempt missed. Oumar Niasse (Hull City) right footed shot from outside the box misses to the right. Assisted by Andrea Ranocchia.
5'		Hand ball by Michael Dawson (Hull City).
5'		Attempt blocked. Jarrod Bowen (Hull City) left footed shot from the right side of the box is blocked. Assisted by Omar Elabdellaoui.
3'		Offside, Hull City. Tom Huddlestone tries a through ball, but Alfred N'Diaye is caught offside.
2'		Oumar Niasse (Hull City) wins a free kick on the left wing.
2'		Foul by Eric Dier (Tottenham Hotspur).
-		Lineups are announced and players are warming up.
-		First Half begins.
